LANGUAGE_KEY;ENG
Sphenoid bone;Sphenoid bone
Ethmoidal process of left inferior nasal concha;Ethmoidal process of left inferior nasal concha
Frontal bone;Frontal bone
Left inferior nasal concha;Left inferior nasal concha
Left lacrimal bone;Left lacrimal bone
Left maxillary tuberosity;Left maxillary tuberosity
Left nasal bone;Left nasal bone
Left palatine bone;Left palatine bone
Left parietal bone proper;Left parietal bone proper
Left temporal bone;Left temporal bone
Left zygomatic bone;Left zygomatic bone
Mandible;Mandible
Occipital bone;Occipital bone
Ethmoid;Ethmoid
Right inferior nasal concha;Right inferior nasal concha
Right nasal bone;Right nasal bone
Right palatine bone;Right palatine bone
Right parietal bone proper;Right parietal bone proper
Right temporal bone;Right temporal bone
Right zygomatic bone;Right zygomatic bone
Vomer proper;Vomer proper
